prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
NZ_AXUV01,WGS,,BCT,Synechococcus sp. 65AY640,PRJNA224116,SAMN07981241,strain: 65AY640,"isolation_source: microbial mat located in an alkaline silicious hot spring\, Mushroom Spring\, in the Lower Geyser Basin",0,0,0,No,0,0,0,No,NZ_AXUV01000001-NZ_AXUV01000006,,2019-07-31T00:00:00Z,2017-11-09T00:00:00Z
NZ_AXUW01,WGS,,BCT,Synechococcus sp. 65AY6A5,PRJNA224116,SAMN07981246,strain: 65AY6A5,"isolation_source: microbial mat located in an alkaline silicious hot spring\, Mushroom Spring\, in the Lower Geyser Basin",0,0,0,No,0,0,0,No,NZ_AXUW01000001-NZ_AXUW01000009,,2019-07-31T00:00:00Z,2017-11-09T00:00:00Z
NZ_AXUX01,WGS,,BCT,Synechococcus sp. 63AY4M2,PRJNA224116,SAMN07981245,strain: 63AY4M2,"isolation_source: microbial mat located in an alkaline silicious hot spring\, Mushroom Spring\, in the Lower Geyser Basin",0,0,0,No,0,0,0,No,NZ_AXUX01000001-NZ_AXUX01000003,,2019-07-31T00:00:00Z,2017-11-09T00:00:00Z
NZ_AXZO01,WGS,,BCT,Synechococcus sp. 65AY6Li,PRJNA224116,SAMN07981244,strain: 65AY6Li,"isolation_source: microbial mat located in an alkaline silicious hot spring\, Mushroom Spring\, in the Lower Geyser Basin",0,0,0,No,0,0,0,No,NZ_AXZO01000001-NZ_AXZO01000002,,2019-07-31T00:00:00Z,2017-11-09T00:00:00Z
NZ_APIY01,WGS,,BCT,Dolichospermum circinale AWQC131C,PRJNA224116,SAMN02471998,strain: AWQC131C,isolation_source: fresh water from Lake Cargelligo on the Lachlan River,0,0,0,No,121,3750,4445648,Yes,"NZ_APIY01000317-NZ_APIY01000317,NZ_APIY01000369-NZ_APIY01000369,NZ_APIY01000380-NZ_APIY01000380,NZ_APIY01000400-NZ_APIY01000400,NZ_APIY01000403-NZ_APIY01000403,NZ_APIY01000410-NZ_APIY01000411,NZ_APIY01000416-NZ_APIY01000417,NZ_APIY01000423-NZ_APIY01000431,NZ_APIY01000435-NZ_APIY01000442,NZ_APIY01000451-NZ_APIY01000456,NZ_APIY01000459-NZ_APIY01000472,NZ_KE384588-NZ_KE384662",,2019-12-09T00:00:00Z,2014-06-12T00:00:00Z
NZ_APIZ01,WGS,,BCT,Dolichospermum circinale AWQC310F,PRJNA224116,SAMN02471999,strain: AWQC310F,isolation_source: fresh water,0,0,0,No,82,3676,4405846,Yes,"NZ_APIZ01000318-NZ_APIZ01000318,NZ_APIZ01000321-NZ_APIZ01000321,NZ_APIZ01000336-NZ_APIZ01000336,NZ_APIZ01000339-NZ_APIZ01000341,NZ_APIZ01000346-NZ_APIZ01000353,NZ_APIZ01000356-NZ_APIZ01000357,NZ_APIZ01000360-NZ_APIZ01000364,NZ_APIZ01000367-NZ_APIZ01000372,NZ_KE384663-NZ_KE384717",,2019-12-09T00:00:00Z,2014-06-12T00:00:00Z
NZ_BAUB01,WGS,,BCT,Synechococcus sp. NKBG15041c,PRJNA224116,SAMD00036772,strain: NKBG15041c,,0,0,0,No,44,2848,3180043,Yes,NZ_BAUB01000001-NZ_BAUB01000044,,2020-02-17T00:00:00Z,2014-05-23T00:00:00Z
NZ_BAWS01,WGS,,BCT,Synechococcus sp. NKBG042902,PRJNA224116,SAMD00000348,strain: NKBG042902,,0,0,0,No,77,3046,3319479,Yes,NZ_BAWS01000001-NZ_BAWS01000077,,2020-01-31T00:00:00Z,2014-07-03T00:00:00Z
NZ_BBPA01,WGS,,BCT,Microcystis aeruginosa NIES-44,PRJNA224116,SAMD00020207,strain: NIES-44,,0,0,0,No,79,3942,4565323,Yes,NZ_BBPA01000001-NZ_BBPA01000079,,2019-10-30T00:00:00Z,2015-03-24T00:00:00Z
NZ_BBWW01,WGS,,BCT,Leptolyngbya sp. NIES-2104,PRJNA224116,SAMD00020894,strain: NIES-2104,,0,0,0,No,5,5910,6386310,Yes,NZ_BBWW01000001-NZ_BBWW01000005,,2019-12-12T00:00:00Z,2016-01-07T00:00:00Z
NZ_BDGE01,WGS,,BCT,Nostoc cycadae WK-1,PRJNA224116,SAMD00053836,strain: WK-1,,0,0,0,No,0,0,0,No,NZ_DF978421-NZ_DF978488,,2019-08-29T00:00:00Z,2018-01-26T00:00:00Z
NZ_BDQK01,WGS,,BCT,Aphanothece sacrum FPU1,PRJNA224116,SAMD00066878,strain: FPU1,,0,0,0,No,0,0,0,No,NZ_BDQK01000001-NZ_BDQK01000020,,2019-08-24T00:00:00Z,2018-12-08T00:00:00Z
NZ_BDQL01,WGS,,BCT,Aphanothece sacrum FPU3,PRJNA224116,SAMD00066879,strain: FPU3,,0,0,0,No,0,0,0,No,NZ_BDQL01000001-NZ_BDQL01000095,,2019-08-24T00:00:00Z,2018-12-08T00:00:00Z
NZ_BDSG01,WGS,,BCT,Microcystis aeruginosa Sj,PRJNA224116,SAMD00078610,strain: Sj,isolation_source: Eutrophic water,0,0,0,No,0,0,0,No,NZ_BDSG01000001-NZ_BDSG01000341,,2019-08-12T00:00:00Z,2018-06-16T00:00:00Z
NZ_BDSM01,WGS,,BCT,Microcystis sp. 0824,PRJNA224116,SAMD00080457,strain: 0824,,0,0,0,No,0,0,0,No,NZ_BDSM01000001-NZ_BDSM01000078,,2020-01-04T00:00:00Z,2018-05-12T00:00:00Z
NZ_BDUB01,WGS,,BCT,Nodularia sp. NIES-3585,PRJNA224116,SAMD00079814,strain: NIES-3585,,0,0,0,No,0,0,0,No,NZ_BDUB01000001-NZ_BDUB01000004,,2019-07-01T00:00:00Z,2017-07-15T00:00:00Z
NZ_BDUC01,WGS,,BCT,Tolypothrix sp. NIES-4075,PRJNA224116,SAMD00081171,strain: NIES-4075,,0,0,0,No,0,0,0,No,NZ_BDUC01000001-NZ_BDUC01000066,,2020-01-19T00:00:00Z,2017-07-15T00:00:00Z
NZ_BDUD01,WGS,,BCT,Nostoc commune NIES-4072,PRJNA224116,SAMD00081170,strain: NIES-4072,,0,0,0,No,0,0,0,No,NZ_BDUD01000001-NZ_BDUD01000011,,2019-08-11T00:00:00Z,2018-05-12T00:00:00Z
NZ_BEIU01,WGS,,BCT,Microcystis aeruginosa NIES-298,PRJNA224116,SAMD00094578,strain: NIES-298,,0,0,0,No,0,0,0,No,NZ_BEIU01000001-NZ_BEIU01000088,,2019-08-09T00:00:00Z,2018-01-26T00:00:00Z
NZ_BEIV01,WGS,,BCT,Microcystis aeruginosa NIES-1211,PRJNA224116,SAMD00093602,strain: NIES-1211,,0,0,0,No,0,0,0,No,NZ_BEIV01000001-NZ_BEIV01000264,,2019-09-11T00:00:00Z,2018-06-16T00:00:00Z
NZED01,WGS,,BCT,Synechococcus sp. ARS1019,PRJNA391943,SAMN07620135,isolate: ARS1019,"isolation_source: marine water sample,metagenome_source: marine metagenome",2260210,63,2390,Yes,0,0,0,No,,,2018-07-13T00:00:00Z,2017-10-24T00:00:00Z
NZHI01,WGS,,BCT,Synechococcus sp. MED650,PRJNA391943,SAMN07620139,isolate: MED650,"isolation_source: marine water sample,metagenome_source: marine metagenome",1803804,87,1964,Yes,0,0,0,No,,,2018-07-13T00:00:00Z,2017-10-24T00:00:00Z
NZHY01,WGS,,BCT,Prochlorococcus sp. MED630,PRJNA391943,SAMN07619792,isolate: MED630,"isolation_source: marine water sample,metagenome_source: marine metagenome",1285346,63,1387,Yes,0,0,0,No,,,2018-07-13T00:00:00Z,2017-10-24T00:00:00Z
NZJI01,WGS,,BCT,Cyanobium sp. MED195,PRJNA391943,SAMN07618605,isolate: MED195,"isolation_source: marine water sample,metagenome_source: marine metagenome",1306460,83,1259,Yes,0,0,0,No,,,2018-07-13T00:00:00Z,2017-10-24T00:00:00Z
NZKA01,WGS,,BCT,Prochlorococcus sp. MED105,PRJNA391943,SAMN07619791,isolate: MED105,"isolation_source: marine water sample,metagenome_source: marine metagenome",966148,68,1042,Yes,0,0,0,No,,,2018-07-13T00:00:00Z,2017-10-24T00:00:00Z
NZPI01,WGS,,BCT,Synechococcus sp. EAC657,PRJNA391943,SAMN07620138,isolate: EAC657,"isolation_source: marine water sample,metagenome_source: marine metagenome",2189188,49,2319,Yes,0,0,0,No,,,2018-07-13T00:00:00Z,2017-10-24T00:00:00Z
NZVB01,WGS,,BCT,Cyanobium sp. NAT70,PRJNA391943,SAMN07618607,isolate: NAT70,"isolation_source: marine water sample,metagenome_source: marine metagenome",3000427,87,2860,Yes,0,0,0,No,,,2018-07-13T00:00:00Z,2017-10-24T00:00:00Z
NZXF01,WGS,,BCT,Synechococcus sp. NAT40,PRJNA391943,SAMN07620141,isolate: NAT40,"isolation_source: marine water sample,metagenome_source: marine metagenome",2213321,73,2364,Yes,0,0,0,No,,,2018-07-13T00:00:00Z,2017-10-24T00:00:00Z
NZ_AADV02,WGS,,BCT,Crocosphaera watsonii WH 8501,PRJNA224116,SAMN02441415,strain: WH 8501,,0,0,0,No,323,5537,6238156,Yes,NZ_AADV02000001-NZ_AADV02000323,,2019-12-17T00:00:00Z,2005-06-17T00:00:00Z
NZ_AFEJ01,WGS,,BCT,Acaryochloris sp. CCMEE 5410,PRJNA224116,SAMN00016772,strain: CCMEE 5410,,0,0,0,No,511,6769,7875477,Yes,NZ_AFEJ01000001-NZ_AFEJ01000511,,2019-06-11T00:00:00Z,2011-12-05T00:00:00Z
NZ_AFJC01,WGS,,BCT,Microcoleus vaginatus FGP-2,PRJNA224116,SAMN00713620,strain: FGP-2,isolation_source: desert soil crust,0,0,0,No,40,5078,6698929,Yes,NZ_AFJC01000001-NZ_AFJC01000040,,2020-01-05T00:00:00Z,2011-05-26T00:00:00Z
NZ_AFXD01,WGS,,BCT,Arthrospira platensis C1,PRJNA224116,SAMN02470135,strain: C1,,0,0,0,No,1,4852,6089210,Yes,NZ_CM001632-NZ_CM001632,,2019-12-09T00:00:00Z,2012-11-21T00:00:00Z
NZ_AGCR01,WGS,,BCT,Tolypothrix sp. PCC 7601,PRJNA224116,SAMN03450030,strain: UTEX B 481,,0,0,0,No,0,0,0,No,NZ_JH930357-NZ_JH930399,,2019-12-02T00:00:00Z,2015-03-31T00:00:00Z
NZ_AGIK01,WGS,,BCT,Synechococcus sp. WH 8016,PRJNA224116,SAMN02261394,strain: WH 8016,,0,0,0,No,16,2762,2694843,Yes,NZ_AGIK01000001-NZ_AGIK01000016,,2020-01-13T00:00:00Z,2011-10-17T00:00:00Z
NZ_AGIZ01,WGS,,BCT,Fischerella thermalis,PRJNA224116,SAMN02256526,strain: JSC-11,,0,0,0,No,34,4336,5380000,Yes,NZ_AGIZ01000001-NZ_AGIZ01000034,,2019-08-26T00:00:00Z,2011-10-27T00:00:00Z
NZ_AGJC02,WGS,,BCT,Crocosphaera subtropica ATCC 51472,PRJNA224116,SAMN02256525,strain: ATCC 51472,,0,0,0,No,7,4899,5460476,Yes,NZ_AGJC02000001-NZ_AGJC02000007,,2019-12-15T00:00:00Z,2014-05-23T00:00:00Z
NZ_ALVI01,WGS,,BCT,Kamptonema formosum PCC 6407,PRJNA224116,SAMN02261340,strain: PCC 6407,isolation_source: fresh water,0,0,0,No,12,5424,6894060,Yes,NZ_KB235898-NZ_KB235909,,2020-02-05T00:00:00Z,2013-05-01T00:00:00Z
NZ_ALVJ01,WGS,,BCT,Calothrix sp. PCC 7103,PRJNA224116,SAMN02261256,strain: PCC 7103,isolation_source: herbarium material of Anacystis montana,0,0,0,No,0,0,0,No,NZ_KB217472-NZ_KB217483,,2019-12-19T00:00:00Z,2013-05-01T00:00:00Z
NZ_ALVK01,WGS,,BCT,Pseudanabaena sp. PCC 6802,PRJNA224116,SAMN02261339,strain: PCC 6802,,0,0,0,No,6,4931,5621883,Yes,NZ_KB235910-NZ_KB235915,,2020-02-05T00:00:00Z,2013-05-01T00:00:00Z
NZ_ALVL01,WGS,,BCT,Pleurocapsa sp. PCC 7319,PRJNA224116,SAMN02261343,strain: PCC 7319,isolation_source: snail shell,0,0,0,No,0,0,0,No,NZ_KB235916-NZ_KB235925,,2020-01-07T00:00:00Z,2013-05-01T00:00:00Z
NZ_ALVM01,WGS,,BCT,Leptolyngbya boryana PCC 6306,PRJNA224116,SAMN02261250,strain: PCC 6306,isolation_source: unialgal culture in lake water,0,0,0,No,5,6524,7262454,Yes,NZ_KB731324-NZ_KB731328,,2019-11-25T00:00:00Z,2013-04-26T00:00:00Z
NZ_ALVN01,WGS,,BCT,Leptolyngbya sp. PCC 7375,PRJNA224116,SAMN02256520,strain: PCC 7375,isolation_source: plankton,0,0,0,No,0,0,0,No,NZ_JH993793-NZ_JH993797,,2019-12-15T00:00:00Z,2012-12-04T00:00:00Z
NZ_ALVO01,WGS,,BCT,Geminocystis herdmanii PCC 6308,PRJNA224116,SAMN02256519,strain: PCC 6308,isolation_source: unialgal culture in lake water,0,0,0,No,1,3887,4263418,Yes,NZ_CM001775-NZ_CM001775,,2020-01-07T00:00:00Z,2013-04-26T00:00:00Z
NZ_ALVP01,WGS,,BCT,Nodosilinea nodulosa PCC 7104,PRJNA224116,SAMN02261265,strain: PCC 7104,isolation_source: rock at shoreline,0,0,0,No,2,5878,6891283,Yes,NZ_JH976537-NZ_JH976538,,2019-12-02T00:00:00Z,2013-04-26T00:00:00Z
NZ_ALVQ01,WGS,,BCT,Spirulina major PCC 6313,PRJNA224116,SAMN02744077,strain: PCC 6313,isolation_source: brackish water,0,0,0,No,0,0,0,No,NZ_KV878782-NZ_KV878783,,2019-06-18T00:00:00Z,2016-12-18T00:00:00Z
NZ_ALVR01,WGS,,BCT,Spirulina subsalsa PCC 9445,PRJNA224116,SAMN02261255,strain: PCC 9445,,0,0,0,No,3,4301,10541891,Yes,NZ_ALVR01000010-NZ_ALVR01000010,,2017-11-23T00:00:00Z,2013-04-26T00:00:00Z
NZ_ALVS01,WGS,,BCT,Fischerella sp. PCC 9339,PRJNA224116,SAMN02261257,strain: PCC 9339,,0,0,0,No,0,0,0,No,NZ_JH992886-NZ_JH992898,,2019-12-09T00:00:00Z,2013-04-26T00:00:00Z
NZ_ALVT01,WGS,,BCT,Fischerella sp. PCC 9605,PRJNA224116,SAMN02597161,strain: PCC 9605,,0,0,0,No,5,432,501766,Yes,"NZ_ALVT01000030-NZ_ALVT01000034,NZ_KI912148-NZ_KI912154",,2019-12-09T00:00:00Z,2014-06-11T00:00:00Z
NZ_ALVU02,WGS,,BCT,Synechocystis sp. PCC 7509,PRJNA224116,SAMN02261355,strain: PCC 7509,,0,0,0,No,4,4532,4908825,Yes,"NZ_ALVU02000001-NZ_ALVU02000002,NZ_KI966369-NZ_KI966370",,2020-01-08T00:00:00Z,2014-06-13T00:00:00Z
NZ_ALVV02,WGS,,BCT,Leptolyngbya sp. PCC 6406,PRJNA224116,SAMN02261357,strain: PCC 6406,,0,0,0,No,3,4716,5776957,Yes,NZ_KI913949-NZ_KI913951,,2020-02-06T00:00:00Z,2014-06-12T00:00:00Z
NZ_ALVW01,WGS,,BCT,Mastigocladopsis repens PCC 10914,PRJNA224116,SAMN02261251,strain: PCC 10914,,0,0,0,No,3,5323,6465655,Yes,NZ_JH992899-NZ_JH992901,,2019-12-14T00:00:00Z,2013-04-26T00:00:00Z
NZ_ALVX01,WGS,,BCT,Fischerella sp. PCC 9431,PRJNA224116,SAMN02441755,strain: PCC 9431,,0,0,0,No,8,5682,7167426,Yes,"NZ_ALVX01000003-NZ_ALVX01000004,NZ_ALVX01000007-NZ_ALVX01000008,NZ_ALVX01000043-NZ_ALVX01000043,NZ_KE650771-NZ_KE650773",,2019-12-09T00:00:00Z,2014-06-11T00:00:00Z
NZ_ALVY01,WGS,,BCT,Gloeocapsa sp. PCC 73106,PRJNA224116,SAMN02261353,strain: PCC 73106,isolation_source: sphagnum bog,0,0,0,No,228,3704,4025114,Yes,NZ_ALVY01000001-NZ_ALVY01000228,,2020-02-10T00:00:00Z,2013-01-22T00:00:00Z
NZ_ALVZ01,WGS,,BCT,Xenococcus sp. PCC 7305,PRJNA224116,SAMN02261354,strain: PCC 7305,isolation_source: marine aquarium,0,0,0,No,234,4992,5929641,Yes,NZ_ALVZ01000001-NZ_ALVZ01000234,,2020-02-05T00:00:00Z,2013-01-22T00:00:00Z
NZ_ALWA01,WGS,,BCT,cyanobacterium PCC 7702,PRJNA224116,SAMN02261344,strain: PCC 7702,,0,0,0,No,4,3972,4903153,Yes,NZ_KB235926-NZ_KB235929,,2020-01-07T00:00:00Z,2013-04-26T00:00:00Z
NZ_ALWB01,WGS,,BCT,Pseudanabaena biceps PCC 7429,PRJNA224116,SAMN02261350,strain: PCC 7429,isolation_source: Sphagnum bog near Kastanienbaum,0,0,0,No,464,4367,5476421,Yes,NZ_ALWB01000001-NZ_ALWB01000464,,2020-02-10T00:00:00Z,2013-01-23T00:00:00Z
NZ_ALWC01,WGS,,BCT,Synechococcus sp. PCC 7336,PRJNA224116,SAMN02261338,strain: PCC 7336,isolation_source: sea water from a tank,0,0,0,No,1,4249,5066637,Yes,NZ_CM001776-NZ_CM001776,,2020-02-05T00:00:00Z,2013-04-26T00:00:00Z
NZ_ALWD01,WGS,,BCT,[Scytonema hofmanni] UTEX 2349,PRJNA224116,SAMN00203911,strain: UTEX 2349,,0,0,0,No,9,424,563609,Yes,"NZ_ALWD01000001-NZ_ALWD01000003,NZ_ALWD01000158-NZ_ALWD01000163,NZ_KK073764-NZ_KK073769",,2019-08-03T00:00:00Z,2014-06-20T00:00:00Z
NZ_ADXM01,WGS,,BCT,Synechococcus sp. CB0205,PRJNA224116,SAMN00010406,strain: CB0205,isolation_source: Chesapeake Bay,0,0,0,No,78,2473,2427308,Yes,NZ_ADXM01000001-NZ_ADXM01000078,,2019-12-14T00:00:00Z,2011-01-12T00:00:00Z
NZ_AEPQ01,WGS,,BCT,Moorea producens 3L,PRJNA224116,SAMN02471690,strain: 3L,,0,0,0,No,0,0,0,No,NZ_GL890815-NZ_GL890975,,2020-01-30T00:00:00Z,2011-05-12T00:00:00Z
NZ_AESD01,WGS,,BCT,Crocosphaera watsonii WH 0003,PRJNA224116,SAMN02471692,strain: WH 0003,,0,0,0,No,1126,4835,5890504,Yes,NZ_AESD01000001-NZ_AESD01001126,,2019-09-25T00:00:00Z,2012-11-15T00:00:00Z
NZ_ACDW01,WGS,,BCT,Prochlorococcus marinus str. MIT 9202,PRJNA224116,SAMN02436267,strain: MIT 9202,,0,0,0,No,1,1795,1691453,Yes,NZ_DS999537-NZ_DS999537,,2020-01-07T00:00:00Z,2009-01-01T00:00:00Z
NZ_ACSK03,WGS,,BCT,Arthrospira platensis str. Paraca,PRJNA224116,SAMN02344446,"isolate: UASWS,strain: Paraca",isolation_source: pure sub-culture from non-axenic industrial culture provided by Biorigin,0,0,0,No,268,5436,6501886,Yes,NZ_ACSK03000001-NZ_ACSK03000268,,2020-02-14T00:00:00Z,2014-12-24T00:00:00Z
NZ_ACYA01,WGS,,BCT,Cylindrospermopsis raciborskii CS-505,PRJNA224116,SAMN02470243,strain: CS-505,,0,0,0,No,93,3176,3879030,Yes,NZ_ACYA01000001-NZ_ACYA01000093,,2019-07-31T00:00:00Z,2010-01-04T00:00:00Z
NZ_ACYB01,WGS,,BCT,Raphidiopsis brookii D9,PRJNA224116,SAMN02470244,strain: D9,,0,0,0,No,47,2602,3186511,Yes,NZ_ACYB01000001-NZ_ACYB01000047,,2019-10-28T00:00:00Z,2010-01-04T00:00:00Z
NZ_ANFJ01,WGS,,BCT,Fortiea contorta PCC 7126,PRJNA224116,SAMN02261254,strain: PCC 7126,isolation_source: freshwater aquarium,0,0,0,No,3,4934,5742264,Yes,NZ_KB235930-NZ_KB235932,,2020-01-31T00:00:00Z,2013-04-27T00:00:00Z
NZ_ANFQ01,WGS,,BCT,Geitlerinema sp. PCC 7105,PRJNA224116,SAMN02261249,strain: PCC 7105,isolation_source: unialgal culture,0,0,0,No,8,4735,6152351,Yes,NZ_KB235955-NZ_KB235962,,2020-01-07T00:00:00Z,2013-04-27T00:00:00Z
NZ_ANKN01,WGS,,BCT,Prochlorothrix hollandica PCC 9006 = CALU 1027,PRJNA224116,SAMN02261252,strain: PCC 9006,isolation_source: fresh water,0,0,0,No,13,4135,5646343,Yes,NZ_KB235933-NZ_KB235945,,2020-01-31T00:00:00Z,2013-04-27T00:00:00Z
NZ_ANKO01,WGS,,BCT,Oscillatoria sp. PCC 10802,PRJNA224116,SAMN02261253,strain: PCC 10802,,0,0,0,No,0,0,0,No,NZ_KB235946-NZ_KB235954,,2019-12-09T00:00:00Z,2013-04-27T00:00:00Z
NZ_ANKQ01,WGS,,BCT,Microcystis aeruginosa TAIHU98,PRJNA224116,SAMN02469974,strain: TAIHU98,isolation_source: freshwater from Taihu Lake,0,0,0,No,4,4284,4849611,Yes,NZ_ANKQ01000001-NZ_ANKQ01000004,,2019-10-29T00:00:00Z,2013-01-09T00:00:00Z
NZ_ANNX02,WGS,,BCT,Scytonema hofmannii PCC 7110,PRJNA224116,SAMN02469880,strain: PCC 7110,isolation_source: a limestone cave,0,0,0,No,0,0,0,No,NZ_KQ976354-NZ_KQ976393,,2020-01-08T00:00:00Z,2016-08-18T00:00:00Z
NZ_AOCI01,WGS,,BCT,Microcystis aeruginosa DIANCHI905,PRJNA224116,SAMN02469975,strain: DIANCHI905,isolation_source: Dianchi Lake,0,0,0,No,335,4191,4858867,Yes,NZ_AOCI01000001-NZ_AOCI01000335,,2019-11-28T00:00:00Z,2013-01-25T00:00:00Z
NZ_AHGV01,WGS,,BCT,Thermanaerovibrio velox DSM 12556,PRJNA224116,SAMN02261421,strain: DSM 12556,isolation_source: cyanobacterial mat of hot spring,0,0,0,No,1,1677,1880838,Yes,NZ_CM001377-NZ_CM001377,,2019-12-14T00:00:00Z,2011-12-28T00:00:00Z
NZ_AJLJ01,WGS,,BCT,Fischerella muscicola SAG 1427-1 = PCC 73103,PRJNA224116,SAMN02469881,strain: SAG 1427-1 = PCC 73103,"isolation_source: soil\, rice field",0,0,0,No,524,5798,7360256,Yes,NZ_AJLJ01000001-NZ_AJLJ01000524,,2020-02-14T00:00:00Z,2013-04-27T00:00:00Z
NZ_AJLK01,WGS,,BCT,Fischerella muscicola PCC 7414,PRJNA224116,SAMN02469884,strain: PCC 7414,"isolation_source: water\, hot spring",0,0,0,No,271,5462,6902954,Yes,NZ_AJLK01000001-NZ_AJLK01000271,,2020-02-05T00:00:00Z,2013-04-27T00:00:00Z
NZ_AJLL01,WGS,,BCT,Fischerella thermalis PCC 7521,PRJNA224116,SAMN02469885,strain: PCC 7521,"isolation_source: water\, hot spring\, Mammoth Sinkhole II",0,0,0,No,141,4342,5438272,Yes,NZ_AJLL01000001-NZ_AJLL01000141,,2020-02-05T00:00:00Z,2013-04-27T00:00:00Z
NZ_AJLM01,WGS,,BCT,Chlorogloeopsis fritschii PCC 9212,PRJNA224116,SAMN02469882,strain: PCC 9212,"isolation_source: water\, thermal spring",0,0,0,No,188,6351,7649851,Yes,NZ_AJLM01000001-NZ_AJLM01000188,,2020-02-18T00:00:00Z,2013-04-27T00:00:00Z
NZ_AJLN01,WGS,,BCT,Chlorogloeopsis fritschii PCC 6912,PRJNA224116,SAMN02469883,strain: PCC 6912,isolation_source: soil,0,0,0,No,161,6492,7751745,Yes,NZ_AJLN01000001-NZ_AJLN01000161,,2020-02-05T00:00:00Z,2013-04-27T00:00:00Z
NZ_AJUB01,WGS,,BCT,Oscillatoriales cyanobacterium JSC-12,PRJNA224116,SAMN02261267,strain: JSC-12,,0,0,0,No,1,4668,5530491,Yes,NZ_CM001633-NZ_CM001633,,2019-12-14T00:00:00Z,2012-11-08T00:00:00Z
NZ_AJWF01,WGS,,BCT,Anabaena sp. PCC 7108,PRJNA224116,SAMN02261341,strain: PCC 7108,isolation_source: intertidal zone,0,0,0,No,3,4875,5886741,Yes,NZ_KB235895-NZ_KB235897,,2020-01-07T00:00:00Z,2013-04-27T00:00:00Z
NZ_AJYB01,WGS,,BCT,Planococcus antarcticus DSM 14505,PRJNA224116,SAMN02470076,strain: DSM 14505,isolation_source: cyanobacterial mat,0,0,0,No,160,3501,3772109,Yes,NZ_AJYB01000001-NZ_AJYB01000160,,2020-02-14T00:00:00Z,2012-06-04T00:00:00Z
LXQD01,WGS,,BCT,Nostoc minutum NIES-26,PRJNA319601,SAMN04901525,isolate: NIES-26,isolation_source: non-axenic culture,9839803,359,7625,Yes,0,0,0,No,,,2018-07-18T00:00:00Z,2018-07-18T00:00:00Z
LXQE01,WGS,,BCT,Nostoc punctiforme NIES-2108,PRJNA319602,SAMN04901527,isolate: NIES-2108,"host: Peltigera didactyla,isolation_source: non-axenic culture",9204130,205,7399,Yes,0,0,0,No,,,2018-07-18T00:00:00Z,2018-07-18T00:00:00Z
LXYR01,WGS,,BCT,Phormidesmis priestleyi BC1401,PRJNA321807,SAMN05003984,strain: BC1401,isolation_source: Cryoconite,5551896,213,0,No,0,0,0,No,,,2016-05-23T00:00:00Z,2016-05-23T00:00:00Z
LYXA01,WGS,,BCT,Cylindrospermopsis raciborskii CS-505,PRJNA323609,SAMN05182239,strain: CS505,isolation_source: Freshwater Cyanobacterial Bloom,4159260,6,3446,Yes,0,0,0,No,,,2016-06-24T00:00:00Z,2016-06-24T00:00:00Z
LYXM01,WGS,,BCT,Synechococcus sp. PCC 7002 x Microcystis aeruginosa TAIHU98 coculture,PRJNA321959,SAMN05013912,,isolation_source: coculture of Synechococcus sp. PCC 7002 and a Microcystis colony with increasing salt concentrations,13154086,95,0,No,0,0,0,No,,,2018-06-15T00:00:00Z,2018-06-15T00:00:00Z
MRUD01,WGS,,BCT,Synechococcus lacustris str. Tous,PRJNA342151,SAMN05915836,"isolate: Tous,strain: Tous","isolation_source: freshwater reservoir from 12m and 25m depth,metagenome_source: freshwater metagenome",1791665,46,1925,Yes,0,0,0,No,,,2017-02-24T00:00:00Z,2017-02-24T00:00:00Z
MTAV01,WGS,,BCT,Nostoc sp. T09,PRJNA360300,SAMN06208854,strain: T09,"host: Dioon caputoi,isolation_source: Coralloid roots",8251853,270,6607,Yes,0,0,0,No,,,2017-05-22T00:00:00Z,2017-05-22T00:00:00Z
MTAW01,WGS,,BCT,Nostoc sp. 106C,PRJNA360305,SAMN06208961,strain: 106C,"host: Dioon merolae,isolation_source: coralloid roots",8662725,241,6731,Yes,0,0,0,No,,,2017-05-22T00:00:00Z,2017-05-22T00:00:00Z
MTAX01,WGS,,BCT,Nostoc sp. RF31YmG,PRJNA360315,SAMN06209042,strain: RF31YmG,"host: Dioon merolae,isolation_source: coralloid roots",9205737,149,7193,Yes,0,0,0,No,,,2017-05-22T00:00:00Z,2017-05-22T00:00:00Z
LZQD01,WGS,,BCT,Trichormus sp. NMC-1,PRJNA324543,SAMN05208169,strain: NMC-1,isolation_source: saltwater lake,5938148,58,0,No,0,0,0,No,,,2016-10-31T00:00:00Z,2016-10-31T00:00:00Z
MWLD01,WGS,,BCT,Candidatus Synechococcus spongiarum LMB bulk15M,PRJNA239126,SAMN02745638,isolate: LMB bulk15M,"host: Aplysina aerophoba SAPs15,isolation_source: few separated cells obtained by FACS sorting: DNA amplified by MDA; pinacoderm",1500513,84,1416,Yes,0,0,0,No,,,2017-03-03T00:00:00Z,2017-03-03T00:00:00Z
